asset,free,locked
BTC,0.00000000,0.00000000
LTC,0.00000000,0.00000000
ETH,0.00000000,0.00000000
NEO,0.00000000,0.00000000
BNB,0.00000000,0.00000000
QTUM,0.00000000,0.00000000
EOS,0.00000000,0.00000000
SNT,0.00000000,0.00000000
BNT,0.00000000,0.00000000
GAS,0.00000000,0.00000000
BCC,0.00000000,0.00000000
USDT,0.00000000,0.00000000
HSR,0.00000000,0.00000000
OAX,0.00000000,0.00000000
DNT,0.00000000,0.00000000
MCO,0.00000000,0.00000000
ICN,0.00000000,0.00000000
ZRX,0.00000000,0.00000000
OMG,0.00000000,0.00000000
WTC,0.00000000,0.00000000
YOYO,0.00000000,0.00000000
LRC,0.00000000,0.00000000
TRX,0.00000000,0.00000000
SNGLS,0.00000000,0.00000000
STRAT,0.00000000,0.00000000
BQX,0.00000000,0.00000000
FUN,0.00000000,0.00000000
KNC,0.00000000,0.00000000
CDT,0.00000000,0.00000000
XVG,0.00000000,0.00000000
IOTA,0.00000000,0.00000000
SNM,0.00000000,0.00000000
LINK,0.00000000,0.00000000
CVC,0.00000000,0.00000000
TNT,0.00000000,0.00000000
REP,0.00000000,0.00000000
MDA,0.00000000,0.00000000
MTL,0.00000000,0.00000000
SALT,0.00000000,0.00000000
NULS,0.00000000,0.00000000
SUB,0.00000000,0.00000000
STX,0.00000000,0.00000000
MTH,0.00000000,0.00000000
ADX,0.00000000,0.00000000
ETC,0.00000000,0.00000000
ENG,0.00000000,0.00000000
ZEC,0.00000000,0.00000000
AST,0.00000000,0.00000000
GNT,0.00000000,0.00000000
DGD,0.00000000,0.00000000
BAT,0.00000000,0.00000000
DASH,0.00000000,0.00000000
POWR,0.00000000,0.00000000
BTG,0.00000000,0.00000000
REQ,0.00000000,0.00000000
XMR,0.00000000,0.00000000
EVX,0.00000000,0.00000000
VIB,0.00000000,0.00000000
ENJ,0.00000000,0.00000000
VEN,0.00000000,0.00000000
ARK,0.00000000,0.00000000
XRP,0.00000000,0.00000000
MOD,0.00000000,0.00000000
STORJ,0.00000000,0.00000000
KMD,0.00000000,0.00000000
RCN,0.00000000,0.00000000
EDO,0.00000000,0.00000000
DATA,0.00000000,0.00000000
DLT,0.00000000,0.00000000
MANA,0.00000000,0.00000000
PPT,0.00000000,0.00000000
RDN,0.00000000,0.00000000
GXS,0.00000000,0.00000000
AMB,0.00000000,0.00000000
ARN,0.00000000,0.00000000
BCPT,0.00000000,0.00000000
CND,0.00000000,0.00000000
GVT,0.00000000,0.00000000
POE,0.00000000,0.00000000
BTS,0.00000000,0.00000000
FUEL,0.00000000,0.00000000
XZC,0.00000000,0.00000000
QSP,0.00000000,0.00000000
LSK,0.00000000,0.00000000
BCD,0.00000000,0.00000000
TNB,0.00000000,0.00000000
ADA,0.00000000,0.00000000
LEND,0.00000000,0.00000000
XLM,0.00000000,0.00000000
CMT,0.00000000,0.00000000
WAVES,0.00000000,0.00000000
WABI,0.00000000,0.00000000
GTO,0.00000000,0.00000000
ICX,0.00000000,0.00000000
OST,0.00000000,0.00000000
ELF,0.00000000,0.00000000
AION,0.00000000,0.00000000
WINGS,0.00000000,0.00000000
BRD,0.00000000,0.00000000
NEBL,0.00000000,0.00000000
NAV,0.00000000,0.00000000
VIBE,0.00000000,0.00000000
LUN,0.00000000,0.00000000
TRIG,0.00000000,0.00000000
APPC,0.00000000,0.00000000
CHAT,0.00000000,0.00000000
RLC,0.00000000,0.00000000
INS,0.00000000,0.00000000
PIVX,0.00000000,0.00000000
IOST,0.00000000,0.00000000
STEEM,0.00000000,0.00000000
NANO,0.00000000,0.00000000
AE,0.00000000,0.00000000
VIA,0.00000000,0.00000000
BLZ,0.00000000,0.00000000
SYS,0.00000000,0.00000000
RPX,0.00000000,0.00000000
NCASH,0.00000000,0.00000000
POA,0.00000000,0.00000000
ONT,0.00000000,0.00000000
ZIL,0.00000000,0.00000000
STORM,0.00000000,0.00000000
XEM,0.00000000,0.00000000
WAN,0.00000000,0.00000000
WPR,0.00000000,0.00000000
QLC,0.00000000,0.00000000
GRS,0.00000000,0.00000000
CLOAK,0.00000000,0.00000000
LOOM,0.00000000,0.00000000
BCN,0.00000000,0.00000000
TUSD,0.00000000,0.00000000
ZEN,0.00000000,0.00000000
SKY,0.00000000,0.00000000
THETA,0.00000000,0.00000000
IOTX,0.00000000,0.00000000
QKC,0.00000000,0.00000000
AGI,0.00000000,0.00000000
NXS,0.00000000,0.00000000
SC,0.00000000,0.00000000
NPXS,0.00000000,0.00000000
KEY,0.00000000,0.00000000
NAS,0.00000000,0.00000000
MFT,0.00000000,0.00000000
DENT,0.00000000,0.00000000
IQ,0.00000000,0.00000000
ARDR,0.00000000,0.00000000
HOT,0.00000000,0.00000000
VET,0.00000000,0.00000000
DOCK,0.00000000,0.00000000
POLY,0.00000000,0.00000000
VTHO,0.00000000,0.00000000
ONG,0.00000000,0.00000000
PHX,0.00000000,0.00000000
HC,0.00000000,0.00000000
GO,0.00000000,0.00000000
PAX,0.00000000,0.00000000
RVN,0.00000000,0.00000000
DCR,0.00000000,0.00000000
USDC,0.00000000,0.00000000
MITH,0.00000000,0.00000000
BCHABC,0.00000000,0.00000000
BCHSV,0.00000000,0.00000000
REN,0.00000000,0.00000000
BTT,0.00000000,0.00000000
USDS,0.00000000,0.00000000
FET,0.00000000,0.00000000
TFUEL,0.00000000,0.00000000
CELR,0.00000000,0.00000000
MATIC,0.00000000,0.00000000
ATOM,0.00000000,0.00000000
PHB,0.00000000,0.00000000
ONE,0.00000000,0.00000000
FTM,0.00000000,0.00000000
BTCB,0.00000000,0.00000000
USDSB,0.00000000,0.00000000
CHZ,0.00000000,0.00000000
COS,0.00000000,0.00000000
ALGO,0.00000000,0.00000000
ERD,0.00000000,0.00000000
DOGE,0.00000000,0.00000000
BGBP,0.00000000,0.00000000
DUSK,0.00000000,0.00000000
ANKR,0.00000000,0.00000000
WIN,0.00000000,0.00000000
TUSDB,0.00000000,0.00000000
COCOS,0.00000000,0.00000000
PERL,0.00000000,0.00000000
TOMO,0.00000000,0.00000000
BUSD,0.00000000,0.00000000
BAND,0.00000000,0.00000000
BEAM,0.00000000,0.00000000
HBAR,0.00000000,0.00000000
XTZ,0.00000000,0.00000000
NGN,0.00000000,0.00000000
DGB,0.00000000,0.00000000
NKN,0.00000000,0.00000000
GBP,0.00000000,0.00000000
EUR,0.00000000,0.00000000
KAVA,0.00000000,0.00000000
RUB,0.00000000,0.00000000
UAH,0.00000000,0.00000000
ARPA,0.00000000,0.00000000
TRY,0.00000000,0.00000000
CTXC,0.00000000,0.00000000
AERGO,0.00000000,0.00000000
BCH,0.00000000,0.00000000
TROY,0.00000000,0.00000000
COP,0.00000000,0.00000000
MXN,0.00000000,0.00000000
ARS,0.00000000,0.00000000
BRL,0.00000000,0.00000000
VITE,0.00000000,0.00000000
FTT,0.00000000,0.00000000
PLN,0.00000000,0.00000000
CZK,0.00000000,0.00000000
RON,0.00000000,0.00000000
AUD,0.00000000,0.00000000
OGN,0.00000000,0.00000000
DREP,0.00000000,0.00000000
BULL,0.00000000,0.00000000
BEAR,0.00000000,0.00000000
ETHBULL,0.00000000,0.00000000
ETHBEAR,0.00000000,0.00000000
XRPBULL,0.00000000,0.00000000
XRPBEAR,0.00000000,0.00000000
EOSBULL,0.00000000,0.00000000
EOSBEAR,0.00000000,0.00000000
JPY,0.00000000,0.00000000
TCT,0.00000000,0.00000000
WRX,0.00000000,0.00000000
LTO,0.00000000,0.00000000
ZAR,0.00000000,0.00000000
MBL,0.00000000,0.00000000
COTI,0.00000000,0.00000000
BKRW,0.00000000,0.00000000
BNBBULL,0.00000000,0.00000000
BNBBEAR,0.00000000,0.00000000
HIVE,0.00000000,0.00000000
STPT,0.00000000,0.00000000
SOL,0.00000000,0.00000000
